"Genotype","Rep","WeightPlant","WeightPlot","Yield","asc_acid","saudpc","taste"
"102.18",1,0.51,5.1,18.8888888888889,22.7249326723597,5,5
"104.22",1,0.345,2.76,12.7777777777778,23.2289571268647,1,3
"121.31",1,0.5425,4.34,20.0925925925926,21.1580284123497,4,7
"141.28",1,0.988888888888889,8.9,36.6255144032922,23.4075409179069,7,8
"157.26",1,0.625,5,23.1481481481481,16.4375046897813,7,6
"163.9",1,0.512,2.56,18.962962962963,22.9605758306256,8,5
"221.19",1,0.496,2.48,18.3703703703704,21.0456502275788,2,10
"233.11",1,1.01,10.1,37.4074074074074,26.667906886914,6,7
"235.6",1,0.825,8.25,30.5555555555556,15.1312835730512,5,1
"241.2",1,0.488,4.88,18.0740740740741,15.9737861096316,11,7
"255.7",1,0.58,2.32,21.4814814814815,13.7110297772195,8,3
"314.12",1,0.41,1.64,15.1851851851852,16.1986017854149,5,6
"317.6",1,1.00571428571429,7.04,37.2486772486773,23.0160032927667,4,8
"319.20",1,0.864444444444444,7.78,32.0164609053498,21.4508564242412,6,8
"320.16",1,0.706666666666667,6.36,26.1728395061728,24.1349397633634,4,6
"342.15",1,0.73,4.38,27.037037037037,12.6310553935952,8,4
"346.2",1,0.87,6.96,32.2222222222222,14.6686806879543,6,16
"351.26",1,0.825,6.6,30.5555555555556,22.0619360834556,10,5
"364.21",1,0.556,2.78,20.5925925925926,20.0059689996554,6,3
"402.7",1,0.4,2.4,14.8148148148148,18.0494570413627,7,6
"405.2",1,0.854,8.54,31.6296296296296,23.0060067647152,4,3
"406.12",1,0.314285714285714,2.2,11.6402116402116,20.3911014184872,9,9
"427.7",1,0.6875,5.5,25.462962962963,19.8202812146019,5,8
"450.3",1,0.848888888888889,7.64,31.440329218107,25.0406421227002,7,6
"506.2",1,0.3275,2.62,12.1296296296296,20.119425679681,4,4
"Canchan",1,0.64,6.4,23.7037037037037,25.2737763586183,3,9
"Desiree",1,0.64,5.12,23.7037037037037,22.6001149360401,1,5
"Unica",1,0.45875,3.67,16.9907407407407,28.8081562161103,4,4
"102.18",2,0.7775,6.22,28.7962962962963,19.3599322625814,7,7
"104.22",2,0.7125,5.7,26.3888888888889,15.1593030207822,3,3
