"Genotype","Rep","WeightPlant","WeightPlot","Yield","asc_acid","saudpc","taste"
"102.18",1,0.47,4.7,17.4074074074074,17.0609451902288,6,6
"104.22",1,1.46,14.6,54.0740740740741,13.3585216148339,4,7
"121.31",1,0.84,8.4,31.1111111111111,26.0773973745767,3,8
"141.28",1,1.745,17.45,64.6296296296296,21.4884012280289,6,7
"157.26",1,1.345,13.45,49.8148148148148,22.6976384632025,7,8
"163.9",1,0.745,7.45,27.5925925925926,26.5598305041599,5,3
"221.19",1,0.77,7.7,28.5185185185185,16.9114963114635,6,6
"233.11",1,1.47,14.7,54.4444444444444,20.2244380990697,2,2
"235.6",1,1.92,19.2,71.1111111111111,12.3212215856874,2,7
"241.2",1,0.87,8.7,32.2222222222222,24.0620262496689,6,6
"255.7",1,1.2,12,44.4444444444444,23.690375098817,9,8
"314.12",1,1.595,15.95,59.0740740740741,19.1789448652418,6,4
"317.6",1,1.335,13.35,49.4444444444444,23.5334102565822,7,7
"319.20",1,1.28,12.8,47.4074074074074,17.7627103839509,7,5
"320.16",1,0.75,7.5,27.7777777777778,24.4612501427121,6,3
"342.15",1,0.91,9.1,33.7037037037037,16.6988693324997,6,9
"346.2",1,0.915,9.15,33.8888888888889,22.4239026824854,6,6
"351.26",1,1.1,11,40.7407407407407,16.4892179842649,5,4
"364.21",1,1.45,14.5,53.7037037037037,17.6754283387276,7,2
"402.7",1,0.93,9.3,34.4444444444444,16.1546865259597,8,3
"405.2",1,0.675,6.75,25,21.7604304145378,7,9
"406.12",1,1.71,17.1,63.3333333333333,23.9013230561732,7,8
"427.7",1,1.33,13.3,49.2592592592593,23.1088902100156,10,8
"450.3",1,1.65,16.5,61.1111111111111,23.4674710261381,5,7
"506.2",1,1.205,12.05,44.6296296296296,16.3548856452287,4,9
"Canchan",1,1.34,13.4,49.6296296296296,20.1310338517544,3,7
"Desiree",1,0.36,3.6,13.3333333333333,20.816827197222,5,6
"Unica",1,1.65,16.5,61.1111111111111,20.2049008916307,5,6
"102.18",2,1.09,10.9,40.3703703703704,23.1698012078316,7,10
"104.22",2,1.43,14.3,52.962962962963,24.8031478037136,8,6
"121.31",2,1.39,13.9,51.4814814814815,23.1696915400213,4,4
"141.28",2,1.52,15.2,56.2962962962963,23.6731649942835,6,3
"157.26",2,0.89,8.9,32.962962962963,17.9906651691521,8,13
"163.9",2,0.85,8.5,31.4814814814815,27.9560182206578,7,4
"221.19",2,0.96,9.6,35.5555555555556,18.8676861491675,7,6
"233.11",2,1.26,12.6,46.6666666666667,25.8364797250074,4,7
"235.6",2,2.05,20.5,75.9259259259259,26.0587973861445,7,6
"241.2",2,1.075,10.75,39.8148148148148,19.4211994199206,4,3
"255.7",2,1.34,13.4,49.6296296296296,11.5531307717332,6,3
"314.12",2,1.075,10.75,39.8148148148148,17.5244593592292,4,7
"317.6",2,1.55,15.5,57.4074074074074,19.8023184740258,6,5
"319.20",2,1.78,17.8,65.9259259259259,22.0149881806082,6,7
"320.16",2,0.93,9.3,34.4444444444444,20.9946114437764,3,8
"342.15",2,1.29,12.9,47.7777777777778,24.1519659430116,4,5
"346.2",2,0.85,8.5,31.4814814814815,13.5501745981354,4,7
"351.26",2,1.61,16.1,59.6296296296296,18.8820017261884,5,5
"364.21",2,1.38,13.8,51.1111111111111,17.0345351425908,11,7
"402.7",2,1.365,13.65,50.5555555555556,27.8913458407772,9,5
"405.2",2,1.255,12.55,46.4814814814815,17.9808364044741,5,7
"406.12",2,1.52,15.2,56.2962962962963,19.9283425773591,2,8
"427.7",2,1.675,16.75,62.037037037037,19.7350659774715,8,6
"450.3",2,1.06,10.6,39.2592592592593,18.9005806906304,4,6
"506.2",2,1.32,13.2,48.8888888888889,19.0626794853215,4,6
"Canchan",2,1.24,12.4,45.9259259259259,16.5342130545753,2,5
"Desiree",2,0.12,1.2,4.44444444444444,18.2317317224597,8,7
"Unica",2,2.25,22.5,83.3333333333333,25.3357995779537,2,5
"102.18",3,0.78,7.8,28.8888888888889,19.4482074690779,6,6
"104.22",3,1.445,14.45,53.5185185185185,19.6590603151034,3,6
"121.31",3,1.115,11.15,41.2962962962963,20.5523908265662,2,4
"141.28",3,1.6325,16.325,60.462962962963,20.3180289860614,3,6
"157.26",3,1.1175,11.175,41.3888888888889,25.5087889373175,8,7
"163.9",3,0.7975,7.975,29.537037037037,24.3972280858014,6,6
"221.19",3,0.865,8.65,32.037037037037,18.8617175519304,2,17
"233.11",3,1.365,13.65,50.5555555555556,24.8078086061613,8,10
"235.6",3,1.985,19.85,73.5185185185185,18.5528803359847,6,9
"241.2",3,0.9725,9.725,36.0185185185185,21.1744343270699,4,6
"255.7",3,1.27,12.7,47.037037037037,16.7487264116472,6,4
"314.12",3,1.335,13.35,49.4444444444444,25.6729764005186,4,9
"317.6",3,1.4425,14.425,53.4259259259259,21.5817926004306,3,4
"319.20",3,1.53,15.3,56.6666666666667,26.5928068146272,3,6
"320.16",3,0.84,8.4,31.1111111111111,16.6791404448033,6,6
"342.15",3,1.1,11,40.7407407407407,25.2433223655991,8,6
"346.2",3,0.8825,8.825,32.6851851851852,26.3345960282812,4,9
"351.26",3,1.355,13.55,50.1851851851852,19.3252413901857,5,5
"364.21",3,1.415,14.15,52.4074074074074,17.8857989380507,11,5
"402.7",3,1.1475,11.475,42.5,20.2286133961808,3,6
"405.2",3,0.965,9.65,35.7407407407407,19.6012414009829,4,4
"406.12",3,1.615,16.15,59.8148148148148,18.8612643191423,7,4
"427.7",3,1.5025,15.025,55.6481481481481,21.1072927114925,7,5
"450.3",3,1.355,13.55,50.1851851851852,24.6414192056077,6,10
"506.2",3,1.2625,12.625,46.7592592592593,16.7430126443819,8,3
"Canchan",3,1.29,12.9,47.7777777777778,22.6613367105382,8,4
"Desiree",3,0.24,2.4,8.88888888888889,17.9522873001615,3,4
"Unica",3,1.95,19.5,72.2222222222222,19.3784851768403,2,8
