"Genotype","Rep","WeightPlant","WeightPlot","Yield","asc_acid","saudpc","taste"
"102.18",1,0.985,9.85,36.4814814814815,21.8202503965847,6,5
"104.22",1,0.985,9.85,36.4814814814815,23.0874781156541,9,5
"121.31",1,1.06,10.6,39.2592592592593,20.3136920944617,7,4
"141.28",1,0.96,9.6,35.5555555555556,28.6272003607046,6,6
"157.26",1,1.17,11.7,43.3333333333333,11.6442932242324,5,3
"163.9",1,1.1,9.9,36.6666666666667,19.4995917223442,5,6
"221.19",1,0.89,8.9,32.962962962963,16.6643720115614,8,6
"233.11",1,0.78,7.8,28.8888888888889,26.7060486084423,4,10
"235.6",1,1.18,11.8,43.7037037037037,16.6844802403497,1,5
"241.2",1,1.05,10.5,38.8888888888889,22.1303538124229,6,6
"255.7",1,1.004,10.04,37.1851851851852,19.0718278970474,9,3
"314.12",1,0.945,9.45,35,23.7061341945193,8,5
"317.6",1,1.28,12.8,47.4074074074074,16.9119992122244,6,7
"319.20",1,1.185,11.85,43.8888888888889,18.2248890609372,5,2
"320.16",1,0.808,8.08,29.9259259259259,18.9402468137394,4,6
"342.15",1,0.88,8.8,32.5925925925926,23.7798629537912,3,6
"346.2",1,0.902,9.02,33.4074074074074,16.5850799224094,3,4
"351.26",1,0.75,7.5,27.7777777777778,12.0961851101389,12,8
"364.21",1,1.105,11.05,40.9259259259259,22.3890115175573,7,1
"402.7",1,0.97,9.7,35.9259259259259,23.5350089486678,2,10
"405.2",1,0.91,9.1,33.7037037037037,22.0468717139495,4,9
"406.12",1,1.47142857142857,10.3,38.1481481481481,20.9309728429824,4,5
"427.7",1,1.25,12.5,46.2962962962963,20.833104701682,9,5
"450.3",1,1.02,10.2,37.7777777777778,19.0934970646045,5,5
"506.2",1,1.42,14.2,52.5925925925926,20.1313578352129,7,7
"Canchan",1,0.6,6,22.2222222222222,22.6292924989876,4,5
"Desiree",1,0.533333333333333,4.8,17.7777777777778,22.8736401116905,12,4
"Unica",1,1.5,15,55.5555555555556,22.6305693131549,7,5
"102.18",2,0.888888888888889,8,29.6296296296296,11.0789362173531,9,6
"104.22",2,1.085,10.85,40.1851851851852,22.6059269878584,4,8
"121.31",2,0.87,8.7,32.2222222222222,19.54966286894,3,12
"141.28",2,1.21,12.1,44.8148148148148,18.9800500455072,7,4
"157.26",2,1.25,12.5,46.2962962962963,14.9248638364923,4,7
"163.9",2,0.91,9.1,33.7037037037037,24.5442311451869,7,3
"221.19",2,0.713,7.13,26.4074074074074,14.705706751388,3,9
"233.11",2,0.65,6.5,24.0740740740741,16.7556041450734,5,7
"235.6",2,1.13,11.3,41.8518518518519,20.7505889401663,7,2
"241.2",2,0.915,9.15,33.8888888888889,21.3493546479203,7,4
"255.7",2,0.838,8.38,31.037037037037,18.4736759060201,5,4
"314.12",2,1.015,10.15,37.5925925925926,25.7384130806262,2,5
"317.6",2,1.02,10.2,37.7777777777778,24.8321968686751,4,7
"319.20",2,0.885,8.85,32.7777777777778,21.960083762365,5,9
"320.16",2,1,10,37.037037037037,17.9697345438221,5,5
"342.15",2,0.82,8.2,30.3703703703704,18.9977449081211,3,6
"346.2",2,0.77,7.7,28.5185185185185,24.8373391549838,6,5
"351.26",2,0.88,8.8,32.5925925925926,27.4837985768802,8,6
"364.21",2,1.08,10.8,40,20.0149806315613,5,7
"402.7",2,0.9,9,33.3333333333333,11.8180646149992,4,5
"405.2",2,0.83,8.3,30.7407407407407,18.099100765893,5,9
"406.12",2,1.02,10.2,37.7777777777778,16.2124903639671,4,4
"427.7",2,1.205,12.05,44.6296296296296,12.4498695964882,4,5
"450.3",2,1.17,11.7,43.3333333333333,23.1234017624237,6,4
"506.2",2,1.185,11.85,43.8888888888889,20.7019582753946,7,5
"Canchan",2,0.66,6.6,24.4444444444444,17.0903857598147,3,3
"Desiree",2,0.59,5.9,21.8518518518519,20.4050548952091,2,4
"Unica",2,1.325,13.25,49.0740740740741,15.5043016391917,3,2
"102.18",3,0.81,8.1,30,19.8765172680559,5,11
"104.22",3,1.105,11.05,40.9259259259259,19.894475326235,4,6
"121.31",3,1.18,11.8,43.7037037037037,16.3999801449757,0,10
"141.28",3,0.58,5.8,21.4814814814815,20.4366884437384,5,13
"157.26",3,1.238,12.38,45.8518518518518,27.7904927093494,8,8
"163.9",3,0.44,4.4,16.2962962962963,16.9241893430994,1,9
"221.19",3,0.91,9.1,33.7037037037037,24.2962026933332,6,6
"233.11",3,0.935,9.35,34.6296296296296,16.2761189205218,3,5
"235.6",3,0.96,9.6,35.5555555555556,19.9690835059835,3,3
"241.2",3,0.93,9.3,34.4444444444444,18.2642415850112,5,7
"255.7",3,0.805,8.05,29.8148148148148,15.0222983657617,6,6
"314.12",3,0.835,8.35,30.9259259259259,17.1705053250961,2,8
"317.6",3,1.13,11.3,41.8518518518519,23.6020076494035,2,10
"319.20",3,0.6,6,22.2222222222222,18.5477113723996,6,1
"320.16",3,1.05,10.5,38.8888888888889,23.9159301739069,7,4
